employee,2023_office_location_type,2024_office_location_type,2023_home_location_type,2024_home_location_type,2023_mode,2024_mode,,,office urban changed?,home urban changed?,Mode Changed?,,,,employee,2023_office_location_type,2023_home_location_type,2023_mode,2024_mode,mode_shift
1627176712,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1627176712,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1629055011,urban,urban,urban,urban,walking,bike,,,no,no,yes,,,,1629055011,urban,urban,walking,bike,walking ? bike
1629266868,urban,urban,urban,urban,spostamento multimodale,car,,,no,no,yes,,,,1629266868,urban,urban,spostamento multimodale,car,spostamento multimodale ? car
1634374727,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1634374727,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1645406793,urban,urban,urban,urban,walking,public_transport,,,no,no,yes,,,,1645406793,urban,urban,walking,public_transport,walking ? public_transport
1653867121,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,1653867121,urban,peri_urban,public_transport,car,public_transport ? car
1672097169,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1672097169,urban,urban,public_transport,car,public_transport ? car
1674896931,urban,urban,urban,urban,car,spostamento multimodale,,,no,no,yes,,,,1674896931,urban,urban,car,spostamento multimodale,car ? spostamento multimodale
1675920473,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1675920473,urban,urban,car,public_transport,car ? public_transport
1683281880,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1683281880,urban,urban,public_transport,car,public_transport ? car
1688928691,urban,urban,urban,urban,spostamento multimodale,motorcycle,,,no,no,yes,,,,1688928691,urban,urban,spostamento multimodale,motorcycle,spostamento multimodale ? motorcycle
1712165415,urban,urban,urban,urban,car,spostamento multimodale,,,no,no,yes,,,,1712165415,urban,urban,car,spostamento multimodale,car ? spostamento multimodale
1720299254,urban,urban,peri_urban,peri_urban,spostamento multimodale,carpooling_driver,,,no,no,yes,,,,1720299254,urban,peri_urban,spostamento multimodale,carpooling_driver,spostamento multimodale ? carpooling_driver
1720803851,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1720803851,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1741380544,urban,urban,urban,urban,bike,car,,,no,no,yes,,,,1741380544,urban,urban,bike,car,bike ? car
1767356437,urban,urban,non_urban,non_urban,motorcycle,spostamento multimodale,,,no,no,yes,,,,1767356437,urban,non_urban,motorcycle,spostamento multimodale,motorcycle ? spostamento multimodale
1771712121,urban,urban,peri_urban,peri_urban,car,spostamento multimodale,,,no,no,yes,,,,1771712121,urban,peri_urban,car,spostamento multimodale,car ? spostamento multimodale
1782522422,urban,urban,urban,urban,car,bike,,,no,no,yes,,,,1782522422,urban,urban,car,bike,car ? bike
